[2026-08-18T16:56:44.292756+00:00] forked A-s1 sid=6224f65b-87a6-464a-9653-ebc4c3088b3a
[2026-08-18T16:56:45.159470+00:00] forked A-s2 sid=ccbde815-49e2-4349-a51f-e3d34b9704bf
[2026-08-18T16:56:46.031587+00:00] forked A-s3 sid=4b1dd1f5-8789-4b21-b757-3bd0560dc0fa
[2026-08-18T16:56:46.901525+00:00] forked A-s4 sid=05972df6-fda6-4935-b4cd-46e31d62eac7
[2026-08-18T16:56:47.774403+00:00] forked A-s5 sid=5d6177cc-a441-4e3d-97c2-2485a974c1b6
[2026-08-18T16:56:48.649854+00:00] forked B-s1 sid=34a76299-ba8b-4315-8bea-993381b15fd9
[2026-08-18T16:56:49.525307+00:00] forked B-s2 sid=363c68a9-0f15-4d75-be06-faa41d5eb466
[2026-08-18T16:56:50.395885+00:00] forked B-s3 sid=5e8092ba-c792-4240-9ada-983cdb2fa4dc
[2026-08-18T16:56:51.270952+00:00] forked B-s4 sid=ac618da1-0e37-487d-a61d-4eb4163d8833
[2026-08-18T16:56:52.146281+00:00] forked B-s5 sid=2494561b-22ed-41d0-9a20-845dbb3f05e7
[2026-08-18T16:56:53.017722+00:00] forked C-s1 sid=a864e383-e2ed-4768-bc0e-227a9ef8ce17
[2026-08-18T16:56:53.894105+00:00] forked C-s2 sid=f501cebd-e88f-4a5a-94fb-55eedbb04a8e
[2026-08-18T16:56:54.770235+00:00] forked C-s3 sid=f60d1048-156a-43a6-8518-c8c31936f480
[2026-08-18T16:56:55.638996+00:00] forked C-s4 sid=dc500b92-8876-4340-9fa7-16d10ea88f7b
[2026-08-18T16:56:56.512930+00:00] forked C-s5 sid=d6f43734-1989-4634-8b5f-b07898466117
[2026-08-18T16:56:57.384924+00:00] forked D-s1 sid=2336a902-f035-45e7-8965-407ed13b608a
[2026-08-18T16:56:58.255655+00:00] forked D-s2 sid=da8d1b14-ce7d-47ec-a086-dee582d12a3b
[2026-08-18T16:56:59.129460+00:00] forked D-s3 sid=928bd959-4dea-4bbc-8bcb-f16eb9b2d360
[2026-08-18T16:57:00.002421+00:00] forked D-s4 sid=0a5beaf2-e4d6-4225-a30f-e379e99815e5
[2026-08-18T16:57:01.018201+00:00] forked D-s5 sid=86bebba6-d5a7-4ff8-a26a-bd65b7b92eeb
[2026-08-18T16:57:01.018318+00:00] fork complete: 20 lineages
[2026-08-18T17:41:02.496259+00:00] D-s4: R1:WB1 done ctx=59680 cost=$0.24
[2026-08-18T17:42:08.805891+00:00] D-s5: R1:WB1 done ctx=69750 cost=$0.38
[2026-08-18T17:42:17.466774+00:00] C-s3: R1:WB1 done ctx=100362 cost=$0.86
[2026-08-18T17:42:17.467248+00:00] turn WB1 complete
[2026-08-18T17:42:44.202227+00:00] A-s3: R1:R1P6 done ctx=93714 cost=$0.79
[2026-08-18T17:43:18.320131+00:00] A-s4: R1:R1P6 done ctx=117258 cost=$1.53
[2026-08-18T17:43:28.446234+00:00] A-s1: R1:R1P6 done ctx=125553 cost=$1.34
[2026-08-18T17:43:29.186779+00:00] A-s2: R1:R1P6 done ctx=120418 cost=$1.31
[2026-08-18T17:43:42.397609+00:00] A-s5: R1:R1P6 done ctx=105404 cost=$0.94
[2026-08-18T17:43:58.169648+00:00] B-s1: R1:R1P6 done ctx=106227 cost=$0.97
[2026-08-18T17:44:09.463876+00:00] B-s3: R1:R1P6 done ctx=105433 cost=$1.05
[2026-08-18T17:44:32.974675+00:00] B-s5: R1:R1P6 done ctx=112669 cost=$1.17
[2026-08-18T17:44:49.955662+00:00] B-s4: R1:R1P6 done ctx=107147 cost=$0.94
[2026-08-18T17:45:17.735396+00:00] C-s1: R1:R1P6 done ctx=108459 cost=$0.90
[2026-08-18T17:45:19.174694+00:00] C-s2: R1:R1P6 done ctx=94889 cost=$0.73
[2026-08-18T17:45:33.444087+00:00] B-s2: R1:R1P6 done ctx=77357 cost=$0.48
[2026-08-18T17:45:42.729352+00:00] C-s4: R1:R1P6 done ctx=96432 cost=$0.76
[2026-08-18T17:45:57.669314+00:00] C-s3: R1:R1P6 done ctx=106466 cost=$0.92
[2026-08-18T17:46:12.983293+00:00] C-s5: R1:R1P6 done ctx=106737 cost=$0.93
[2026-08-18T17:46:19.072495+00:00] D-s1: R1:R1P6 done ctx=71392 cost=$0.44
[2026-08-18T17:46:32.449428+00:00] D-s2: R1:R1P6 done ctx=82292 cost=$0.52
[2026-08-18T17:47:25.267534+00:00] D-s3: R1:R1P6 done ctx=100813 cost=$0.89
[2026-08-18T17:47:36.383261+00:00] D-s5: R1:R1P6 done ctx=77974 cost=$0.51
[2026-08-18T17:48:07.420566+00:00] D-s4: R1:R1P6 done ctx=76850 cost=$0.44
[2026-08-18T17:48:07.421081+00:00] probe R1P6 round 1 complete
[2026-08-18T17:49:25.634875+00:00] A-s1: R1:W2 done ctx=134630 cost=$1.51
[2026-08-18T17:49:30.081072+00:00] A-s3: R1:W2 done ctx=103562 cost=$0.96
[2026-08-18T17:50:01.614197+00:00] A-s2: R1:W2 done ctx=135512 cost=$1.72
[2026-08-18T17:50:40.407631+00:00] A-s4: R1:W2 done ctx=127774 cost=$1.95
[2026-08-18T17:50:45.173326+00:00] A-s5: R1:W2 done ctx=114559 cost=$1.15
[2026-08-18T17:51:16.606955+00:00] B-s1: R1:W2 done ctx=115361 cost=$1.11
[2026-08-18T17:51:48.762702+00:00] B-s3: R1:W2 done ctx=114260 cost=$1.22
[2026-08-18T17:52:48.317231+00:00] B-s5: R1:W2 done ctx=124206 cost=$1.34
[2026-08-18T17:52:48.609000+00:00] B-s2: R1:W2 done ctx=93948 cost=$0.76
[2026-08-18T17:52:51.400235+00:00] B-s4: R1:W2 done ctx=120051 cost=$1.24
[2026-08-18T17:54:07.105410+00:00] C-s1: R1:W2 done ctx=118698 cost=$1.09
[2026-08-18T17:54:17.920725+00:00] C-s2: R1:W2 done ctx=107498 cost=$0.95
[2026-08-18T17:55:33.783140+00:00] C-s4: R1:W2 done ctx=107880 cost=$1.01
[2026-08-18T17:55:48.305863+00:00] D-s1: R1:W2 done ctx=72014 cost=$0.46
[2026-08-18T17:55:50.950639+00:00] C-s3: R1:W2 done ctx=128347 cost=$1.32
[2026-08-18T17:55:58.647172+00:00] C-s5: R1:W2 done ctx=119510 cost=$1.19
[2026-08-18T17:56:51.917149+00:00] D-s2: R1:W2 done ctx=90396 cost=$0.66
[2026-08-18T17:57:19.282842+00:00] D-s3: R1:W2 done ctx=113211 cost=$1.14
[2026-08-18T17:57:21.631359+00:00] D-s4: R1:W2 done ctx=87275 cost=$0.58
[2026-08-18T17:59:54.077039+00:00] D-s5: R1:W2 done ctx=101553 cost=$0.90
[2026-08-18T17:59:54.077701+00:00] turn W2 complete
[2026-08-18T18:01:19.827904+00:00] A-s3: R1:W3 done ctx=115391 cost=$1.27
[2026-08-18T18:01:34.803776+00:00] A-s2: R1:W3 done ctx=147559 cost=$2.00
[2026-08-18T18:01:37.409154+00:00] A-s4: R1:W3 done ctx=128761 cost=$2.17
[2026-08-18T18:03:08.163319+00:00] A-s1: R1:W3 done ctx=162566 cost=$2.40
[2026-08-18T18:03:14.382530+00:00] A-s5: R1:W3 done ctx=129009 cost=$1.56
[2026-08-18T18:03:17.260205+00:00] B-s1: R1:W3 done ctx=127886 cost=$1.45
[2026-08-18T18:03:45.190812+00:00] B-s4: R1:W3 done ctx=124198 cost=$1.30
[2026-08-18T18:04:23.548187+00:00] B-s5: R1:W3 done ctx=132985 cost=$1.42
[2026-08-18T18:04:26.696387+00:00] B-s3: R1:W3 done ctx=122090 cost=$1.40
[2026-08-18T18:05:00.247808+00:00] C-s2: R1:W3 done ctx=112732 cost=$1.04
[2026-08-18T18:05:33.281148+00:00] B-s2: R1:W3 done ctx=116906 cost=$1.19
[2026-08-18T18:05:45.118180+00:00] C-s1: R1:W3 done ctx=130321 cost=$1.44
[2026-08-18T18:06:43.643293+00:00] C-s4: R1:W3 done ctx=116678 cost=$1.23
[2026-08-18T18:06:55.919529+00:00] D-s1: R1:W3 done ctx=73265 cost=$0.47
[2026-08-18T18:07:56.709695+00:00] C-s5: R1:W3 done ctx=136096 cost=$1.72
[2026-08-18T18:08:13.801621+00:00] C-s3: R1:W3 done ctx=157074 cost=$1.78
[2026-08-18T18:09:00.347852+00:00] D-s2: R1:W3 done ctx=109619 cost=$1.00
[2026-08-18T18:09:50.725693+00:00] D-s3: R1:W3 done ctx=133713 cost=$1.58
[2026-08-18T18:09:59.801614+00:00] D-s4: R1:W3 done ctx=103787 cost=$0.90
[2026-08-18T18:11:28.266461+00:00] D-s5: R1:W3 done ctx=123238 cost=$1.47
[2026-08-18T18:11:28.267329+00:00] turn W3 complete
[2026-08-18T18:11:43.202631+00:00] D-s1: R1:band:H1 done ctx=74218 cost=$0.49
[2026-08-18T18:11:55.410917+00:00] D-s1: R1:band:H2 done ctx=75440 cost=$0.50
[2026-08-18T18:12:11.500812+00:00] D-s1: R1:band:H3 done ctx=76600 cost=$0.52
[2026-08-18T18:12:29.621888+00:00] D-s1: R1:band:H4 done ctx=78044 cost=$0.54
[2026-08-18T18:12:29.622740+00:00] workto-band complete
[2026-08-18T18:13:30.538263+00:00] A-s1: R1:compact done ctx=162566 cost=$2.44
[2026-08-18T18:13:43.023961+00:00] A-s2: R1:compact done ctx=147559 cost=$2.05
[2026-08-18T18:13:56.899620+00:00] A-s3: R1:compact done ctx=115391 cost=$1.32
[2026-08-18T18:14:21.379206+00:00] A-s4: R1:compact done ctx=128761 cost=$2.33
[2026-08-18T18:14:48.679781+00:00] B-s1: R1:compact done ctx=127886 cost=$1.49
[2026-08-18T18:14:57.191864+00:00] A-s5: R1:compact done ctx=129009 cost=$1.60
[2026-08-18T18:15:34.777372+00:00] B-s2: R1:compact done ctx=116906 cost=$1.24
[2026-08-18T18:15:40.461695+00:00] B-s3: R1:compact done ctx=122090 cost=$1.44
[2026-08-18T18:16:12.163346+00:00] B-s4: R1:compact done ctx=124198 cost=$1.34
[2026-08-18T18:16:31.049116+00:00] B-s5: R1:compact done ctx=132985 cost=$1.46
[2026-08-18T18:16:34.182515+00:00] C-s1: R1:compact done ctx=130321 cost=$1.47
[2026-08-18T18:17:19.696253+00:00] C-s3: R1:compact done ctx=157074 cost=$1.82
[2026-08-18T18:17:23.694585+00:00] C-s4: R1:compact done ctx=116678 cost=$1.26
[2026-08-18T18:17:25.306582+00:00] C-s2: R1:compact done ctx=112732 cost=$1.08
[2026-08-18T18:18:11.170337+00:00] D-s2: R1:compact done ctx=109619 cost=$1.03
[2026-08-18T18:18:14.382003+00:00] D-s1: R1:compact done ctx=78044 cost=$0.57
[2026-08-18T18:18:15.664920+00:00] C-s5: R1:compact done ctx=136096 cost=$1.75
[2026-08-18T18:19:05.710292+00:00] D-s4: R1:compact done ctx=103787 cost=$0.94
[2026-08-18T18:19:15.143823+00:00] D-s5: R1:compact done ctx=123238 cost=$1.51
[2026-08-18T18:19:18.812555+00:00] D-s3: R1:compact done ctx=133713 cost=$1.62
[2026-08-18T18:19:18.813031+00:00] compact round 1 complete
[2026-08-18T18:19:19.276087+00:00] archived 20 lineage transcripts label=postcompact2
[2026-08-18T18:20:18.422941+00:00] A-s3: R2:R2P1 done ctx=42740 cost=$1.36
[2026-08-18T18:20:27.352505+00:00] A-s1: R2:R2P1 done ctx=42300 cost=$2.49
[2026-08-18T18:20:50.346998+00:00] A-s5: R2:R2P1 done ctx=41081 cost=$1.65
[2026-08-18T18:21:02.411726+00:00] B-s1: R2:R2P1 done ctx=45681 cost=$1.54
[2026-08-18T18:21:53.080980+00:00] A-s2: R2:R2P1 done ctx=65556 cost=$2.31
[2026-08-18T18:22:05.202122+00:00] B-s3: R2:R2P1 done ctx=37768 cost=$1.47
[2026-08-18T18:22:23.228834+00:00] B-s4: R2:R2P1 done ctx=43890 cost=$1.39
[2026-08-18T18:22:23.724287+00:00] A-s4: R2:R2P1 done ctx=67716 cost=$2.63
[2026-08-18T18:22:31.049914+00:00] C-s1: R2:R2P1 done ctx=40314 cost=$1.51
[2026-08-18T18:22:35.234624+00:00] B-s2: R2:R2P1 done ctx=56143 cost=$1.46
[2026-08-18T18:23:02.893780+00:00] C-s2: R2:R2P1 done ctx=44827 cost=$1.14
[2026-08-18T18:23:18.939090+00:00] C-s4: R2:R2P1 done ctx=38242 cost=$1.30
[2026-08-18T18:23:44.239307+00:00] B-s5: R2:R2P1 done ctx=55044 cost=$1.58
[2026-08-18T18:23:44.371447+00:00] C-s5: R2:R2P1 done ctx=34426 cost=$1.79
[2026-08-18T18:24:00.585379+00:00] D-s2: R2:R2P1 done ctx=40074 cost=$1.07
[2026-08-18T18:24:14.312716+00:00] D-s3: R2:R2P1 done ctx=43842 cost=$1.67
[2026-08-18T18:24:26.852963+00:00] D-s4: R2:R2P1 done ctx=41190 cost=$0.98
