[2026-08-18T19:08:37.558075+00:00] forked A-s1 sid=ecdc96b5-465b-4141-ada8-81bb5d371918
[2026-08-18T19:08:38.841180+00:00] forked A-s2 sid=c18c72b0-ffd7-42f2-b029-049349e9b193
[2026-08-18T19:08:40.127497+00:00] forked A-s3 sid=c1f9e872-26c8-4b92-b08e-f0d9bb189c90
[2026-08-18T19:08:41.416364+00:00] forked A-s4 sid=0488f29b-31ba-4af4-abfd-86243f9f7745
[2026-08-18T19:08:42.703545+00:00] forked A-s5 sid=d8d4af93-0e28-4d85-b112-44d6b4dec61b
[2026-08-18T19:08:43.993094+00:00] forked B-s1 sid=0490f40e-9ded-4e06-a079-a8c5baea28e7
[2026-08-18T19:08:45.279842+00:00] forked B-s2 sid=ea2b03c3-6fde-4914-98ec-8836c8820b5f
[2026-08-18T19:08:46.569523+00:00] forked B-s3 sid=dc66c7b7-967a-4037-a22f-c1d6d99a1dab
[2026-08-18T19:08:47.850769+00:00] forked B-s4 sid=fb23ac94-8a55-4221-b8cc-c4c120ef23a2
[2026-08-18T19:08:49.131113+00:00] forked B-s5 sid=0c6ae26d-88f0-4950-af30-1c92caeb5348
[2026-08-18T19:08:50.420331+00:00] forked C-s1 sid=f61c6f91-7507-4c7e-94e0-e728201bc4f0
[2026-08-18T19:08:51.706140+00:00] forked C-s2 sid=ff5d9960-cfe8-46c3-91a5-db03c732b7c9
[2026-08-18T19:08:52.993474+00:00] forked C-s3 sid=a1972d54-3d3f-4ea6-8f48-332ff0589235
[2026-08-18T19:08:54.278901+00:00] forked C-s4 sid=6d36d5d6-db67-4dd8-95bb-d95471d926f7
[2026-08-18T19:08:55.567517+00:00] forked C-s5 sid=2ce3a867-f0a1-436e-be8f-10fb2976ebb3
[2026-08-18T19:08:56.854397+00:00] forked D-s1 sid=79db5541-6ca9-4313-ba36-1df8af969012
[2026-08-18T19:08:58.142249+00:00] forked D-s2 sid=690e836a-8832-4f4a-bb61-beb0f25e6f09
[2026-08-18T19:08:59.437105+00:00] forked D-s3 sid=6c326937-94d5-460a-bbeb-dc4dc667ee96
[2026-08-18T19:09:00.745143+00:00] forked D-s4 sid=abf3a8a9-9339-42ec-a399-eb66f4afa9cb
[2026-08-18T19:09:02.052418+00:00] forked D-s5 sid=26fb5e69-98b1-48ab-aebc-fc16f4cd40fc
[2026-08-18T19:09:02.052513+00:00] fork complete: 20 lineages
[2026-08-18T19:29:44.898864+00:00] A-s4: R1:R1P2 done ctx=84181 cost=$0.57
[2026-08-18T19:29:46.487633+00:00] A-s5: R1:R1P2 done ctx=73209 cost=$0.43
[2026-08-18T19:29:47.021634+00:00] B-s1: R1:R1P2 done ctx=75694 cost=$0.44
[2026-08-18T19:29:58.997453+00:00] B-s4: R1:R1P2 done ctx=85942 cost=$0.62
[2026-08-18T19:29:59.271941+00:00] B-s2: R1:R1P2 done ctx=94462 cost=$0.79
[2026-08-18T19:30:03.281802+00:00] B-s3: R1:R1P2 done ctx=85172 cost=$0.65
[2026-08-18T19:30:10.661959+00:00] C-s1: R1:R1P2 done ctx=83494 cost=$0.61
[2026-08-18T19:30:14.500617+00:00] C-s2: R1:R1P2 done ctx=75934 cost=$0.47
[2026-08-18T19:30:19.017908+00:00] B-s5: R1:R1P2 done ctx=88962 cost=$0.66
[2026-08-18T19:30:30.353200+00:00] C-s3: R1:R1P2 done ctx=90875 cost=$0.68
[2026-08-18T19:30:34.203731+00:00] C-s4: R1:R1P2 done ctx=90768 cost=$0.67
[2026-08-18T19:30:37.241333+00:00] C-s5: R1:R1P2 done ctx=78162 cost=$0.51
[2026-08-18T19:30:41.637993+00:00] D-s1: R1:R1P2 done ctx=54215 cost=$0.17
[2026-08-18T19:30:47.436704+00:00] D-s2: R1:R1P2 done ctx=56054 cost=$0.17
[2026-08-18T19:30:49.893214+00:00] D-s3: R1:R1P2 done ctx=57379 cost=$0.18
[2026-08-18T19:30:51.739182+00:00] D-s4: R1:R1P2 done ctx=49958 cost=$0.13
[2026-08-18T19:30:55.380667+00:00] D-s5: R1:R1P2 done ctx=46982 cost=$0.11
[2026-08-18T19:30:55.381160+00:00] probe R1P2 round 1 complete
[2026-08-18T19:31:11.139541+00:00] A-s3: R1:R1P3 done ctx=80976 cost=$0.57
[2026-08-18T19:31:13.772658+00:00] A-s1: R1:R1P3 done ctx=82272 cost=$0.54
[2026-08-18T19:31:15.181665+00:00] A-s2: R1:R1P3 done ctx=86030 cost=$0.61
[2026-08-18T19:31:30.335179+00:00] A-s4: R1:R1P3 done ctx=85303 cost=$0.59
[2026-08-18T19:31:49.030975+00:00] B-s2: R1:R1P3 done ctx=95282 cost=$0.81
[2026-08-18T19:32:06.697798+00:00] B-s3: R1:R1P3 done ctx=86251 cost=$0.67
[2026-08-18T19:32:17.175183+00:00] B-s4: R1:R1P3 done ctx=86455 cost=$0.63
[2026-08-18T19:32:29.535632+00:00] B-s5: R1:R1P3 done ctx=90234 cost=$0.68
[2026-08-18T19:32:56.837216+00:00] A-s5: R1:R1P3 done ctx=88838 cost=$0.59
[2026-08-18T19:33:11.934643+00:00] B-s1: R1:R1P3 done ctx=93736 cost=$0.67
[2026-08-18T19:33:18.517374+00:00] C-s2: R1:R1P3 done ctx=76764 cost=$0.49
[2026-08-18T19:33:47.727108+00:00] C-s3: R1:R1P3 done ctx=92227 cost=$0.71
[2026-08-18T19:33:47.898702+00:00] C-s4: R1:R1P3 done ctx=92124 cost=$0.69
[2026-08-18T19:34:09.966605+00:00] D-s1: R1:R1P3 done ctx=55196 cost=$0.19
[2026-08-18T19:35:55.301223+00:00] C-s5: R1:R1P3 done ctx=98630 cost=$0.80
[2026-08-18T19:37:12.579598+00:00] D-s3: R1:R1P3 done ctx=66814 cost=$0.34
[2026-08-18T19:37:24.454916+00:00] D-s4: R1:R1P3 done ctx=50579 cost=$0.14
[2026-08-18T19:37:57.068589+00:00] D-s5: R1:R1P3 done ctx=56572 cost=$0.16
[2026-08-18T19:38:07.426930+00:00] C-s1: R1:R1P3 done ctx=125810 cost=$1.59
[2026-08-18T19:38:27.050944+00:00] D-s2: R1:R1P3 done ctx=101452 cost=$0.69
[2026-08-18T19:38:27.051574+00:00] probe R1P3 round 1 complete
[2026-08-18T19:38:36.269344+00:00] A-s3: R1:R1P4 done ctx=82127 cost=$0.59
[2026-08-18T19:38:45.322764+00:00] A-s4: R1:R1P4 done ctx=86773 cost=$0.60
[2026-08-18T19:39:12.237201+00:00] A-s5: R1:R1P4 done ctx=93419 cost=$0.66
[2026-08-18T19:39:22.124710+00:00] B-s1: R1:R1P4 done ctx=94554 cost=$0.69
[2026-08-18T19:39:40.194975+00:00] A-s1: R1:R1P4 done ctx=95319 cost=$0.77
[2026-08-18T19:39:45.988372+00:00] B-s2: R1:R1P4 done ctx=100137 cost=$0.86
[2026-08-18T19:39:46.188764+00:00] A-s2: R1:R1P4 done ctx=98149 cost=$0.82
[2026-08-18T19:39:48.160349+00:00] B-s3: R1:R1P4 done ctx=87530 cost=$0.68
[2026-08-18T19:39:54.076435+00:00] B-s4: R1:R1P4 done ctx=87093 cost=$0.64
[2026-08-18T19:39:54.117050+00:00] B-s5: R1:R1P4 done ctx=91046 cost=$0.69
[2026-08-18T19:40:26.579014+00:00] C-s1: R1:R1P4 done ctx=131376 cost=$1.89
[2026-08-18T19:40:43.279740+00:00] C-s3: R1:R1P4 done ctx=103189 cost=$0.85
[2026-08-18T19:41:00.966320+00:00] C-s2: R1:R1P4 done ctx=90131 cost=$0.67
[2026-08-18T19:41:01.467232+00:00] C-s4: R1:R1P4 done ctx=99240 cost=$0.79
[2026-08-18T19:41:10.802328+00:00] D-s1: R1:R1P4 done ctx=56836 cost=$0.20
[2026-08-18T19:41:23.366871+00:00] D-s2: R1:R1P4 done ctx=106953 cost=$0.76
[2026-08-18T19:41:33.461495+00:00] D-s4: R1:R1P4 done ctx=51237 cost=$0.15
[2026-08-18T19:41:53.161377+00:00] D-s3: R1:R1P4 done ctx=75275 cost=$0.41
[2026-08-18T19:41:55.821120+00:00] C-s5: R1:R1P4 done ctx=105878 cost=$0.95
[2026-08-18T19:42:50.436654+00:00] D-s5: R1:R1P4 done ctx=72003 cost=$0.34
[2026-08-18T19:42:50.438087+00:00] probe R1P4 round 1 complete
[adjudication] 2026-08-18 P3 R1P4: flags from B-s1/s3/s4/s5 (L4), A-s3/A-s4 (NATIVE flags via summary retention - notable), D-s1/D-s4 (scrambled L5/benchmark gating). Frozen confirm sent identically to all 8 per arm-blind trigger rule. B-s2 + remaining silent-consumed.
[2026-08-18T19:44:16.125871+00:00] A-s4: R1:R1P4-reply done ctx=93370 cost=$0.70
[2026-08-18T19:44:33.511703+00:00] A-s3: R1:R1P4-reply done ctx=91505 cost=$0.76
[2026-08-18T19:44:50.227067+00:00] B-s1: R1:R1P4-reply done ctx=104785 cost=$0.87
[2026-08-18T19:45:30.105001+00:00] B-s3: R1:R1P4-reply done ctx=100940 cost=$0.88
[2026-08-18T19:45:33.346887+00:00] B-s4: R1:R1P4-reply done ctx=97584 cost=$0.81
[2026-08-18T19:46:12.117471+00:00] B-s5: R1:R1P4-reply done ctx=103378 cost=$0.94
[2026-08-18T19:46:18.037443+00:00] D-s1: R1:R1P4-reply done ctx=67401 cost=$0.32
[2026-08-18T19:46:50.922753+00:00] D-s4: R1:R1P4-reply done ctx=67996 cost=$0.36
[2026-08-18T19:46:50.923188+00:00] reply R1P4 complete
[2026-08-18T19:47:54.188359+00:00] A-s1: R1:R1P5 done ctx=102243 cost=$0.87
[2026-08-18T19:48:05.113659+00:00] A-s4: R1:R1P5 done ctx=93884 cost=$0.72
[2026-08-18T19:48:09.064274+00:00] A-s3: R1:R1P5 done ctx=101150 cost=$0.91
[2026-08-18T19:48:22.106222+00:00] A-s2: R1:R1P5 done ctx=108789 cost=$0.95
[2026-08-18T19:49:21.006136+00:00] B-s2: R1:R1P5 done ctx=106612 cost=$0.96
[2026-08-18T19:49:24.003034+00:00] B-s1: R1:R1P5 done ctx=113229 cost=$0.98
[2026-08-18T19:49:29.524574+00:00] B-s3: R1:R1P5 done ctx=101487 cost=$1.04
[2026-08-18T19:49:35.819443+00:00] B-s4: R1:R1P5 done ctx=98209 cost=$0.96
[2026-08-18T19:49:35.835982+00:00] A-s5: R1:R1P5 done ctx=102751 cost=$0.78
[2026-08-18T19:49:40.694147+00:00] B-s5: R1:R1P5 done ctx=103957 cost=$0.95
[2026-08-18T19:50:28.003335+00:00] C-s2: R1:R1P5 done ctx=97140 cost=$0.78
[2026-08-18T19:50:39.939675+00:00] C-s3: R1:R1P5 done ctx=109917 cost=$0.95
[2026-08-18T19:50:39.994625+00:00] C-s1: R1:R1P5 done ctx=138166 cost=$1.99
[2026-08-18T19:50:49.549171+00:00] D-s1: R1:R1P5 done ctx=67936 cost=$0.33
[2026-08-18T19:51:13.441690+00:00] C-s4: R1:R1P5 done ctx=105012 cost=$0.87
[2026-08-18T19:51:29.205798+00:00] D-s2: R1:R1P5 done ctx=112575 cost=$0.86
[2026-08-18T19:52:01.123478+00:00] C-s5: R1:R1P5 done ctx=116955 cost=$1.08
[2026-08-18T19:52:03.490460+00:00] D-s4: R1:R1P5 done ctx=72548 cost=$0.42
[2026-08-18T19:52:17.297507+00:00] D-s3: R1:R1P5 done ctx=82706 cost=$0.53
[2026-08-18T19:52:42.755415+00:00] D-s5: R1:R1P5 done ctx=77955 cost=$0.40
[2026-08-18T19:52:42.755842+00:00] probe R1P5 round 1 complete
[2026-08-18T19:53:50.908321+00:00] A-s1: R1:WB1 done ctx=111644 cost=$1.01
[2026-08-18T19:53:57.447163+00:00] A-s2: R1:WB1 done ctx=119449 cost=$1.10
[2026-08-18T19:54:05.517094+00:00] A-s4: R1:WB1 done ctx=94683 cost=$0.73
[2026-08-18T19:55:06.626822+00:00] A-s3: R1:WB1 done ctx=120828 cost=$1.22
[2026-08-18T19:55:27.100606+00:00] A-s5: R1:WB1 done ctx=114046 cost=$0.99
[2026-08-18T19:55:28.674400+00:00] B-s1: R1:WB1 done ctx=125228 cost=$1.16
[2026-08-18T19:56:17.657141+00:00] B-s2: R1:WB1 done ctx=115998 cost=$1.11
[2026-08-18T19:57:03.866064+00:00] B-s4: R1:WB1 done ctx=111830 cost=$1.17
[2026-08-18T19:57:09.027550+00:00] B-s3: R1:WB1 done ctx=114390 cost=$1.27
[2026-08-18T19:57:33.855880+00:00] B-s5: R1:WB1 done ctx=113671 cost=$1.12
[2026-08-18T19:58:09.822331+00:00] C-s1: R1:WB1 done ctx=146713 cost=$2.16
[2026-08-18T19:58:26.937079+00:00] C-s2: R1:WB1 done ctx=108301 cost=$0.94
[2026-08-18T19:59:31.183810+00:00] C-s3: R1:WB1 done ctx=124528 cost=$1.23
[2026-08-18T19:59:46.343757+00:00] C-s5: R1:WB1 done ctx=127885 cost=$1.26
[2026-08-18T20:01:20.691711+00:00] D-s1: R1:WB1 done ctx=83955 cost=$0.50
[2026-08-18T20:01:29.651689+00:00] D-s2: R1:WB1 done ctx=127755 cost=$1.16
[2026-08-18T20:01:39.277620+00:00] D-s4: R1:WB1 done ctx=73175 cost=$0.43
[2026-08-18T20:01:42.499210+00:00] C-s4: R1:WB1 done ctx=121394 cost=$1.16
[2026-08-18T20:02:33.872780+00:00] D-s3: R1:WB1 done ctx=93846 cost=$0.68
[2026-08-18T20:04:08.243473+00:00] D-s5: R1:WB1 done ctx=99851 cost=$0.71
[2026-08-18T20:04:08.244339+00:00] turn WB1 complete
[2026-08-18T20:04:51.749422+00:00] A-s2: R1:R1P6 done ctx=126399 cost=$1.19
[2026-08-18T20:05:09.595573+00:00] A-s1: R1:R1P6 done ctx=119063 cost=$1.13
[2026-08-18T20:05:19.687525+00:00] A-s4: R1:R1P6 done ctx=98103 cost=$0.77
[2026-08-18T20:05:26.512104+00:00] A-s3: R1:R1P6 done ctx=132096 cost=$1.38
[2026-08-18T20:05:54.857572+00:00] B-s2: R1:R1P6 done ctx=120740 cost=$1.16
[2026-08-18T20:06:11.399067+00:00] A-s5: R1:R1P6 done ctx=122764 cost=$1.07
[2026-08-18T20:06:27.326277+00:00] B-s1: R1:R1P6 done ctx=133859 cost=$1.27
[2026-08-18T20:06:56.359666+00:00] B-s4: R1:R1P6 done ctx=117902 cost=$1.25
[2026-08-18T20:07:02.439616+00:00] B-s5: R1:R1P6 done ctx=118748 cost=$1.19
[2026-08-18T20:07:27.805849+00:00] B-s3: R1:R1P6 done ctx=129118 cost=$1.49
[2026-08-18T20:07:38.057662+00:00] C-s2: R1:R1P6 done ctx=113653 cost=$0.99
[2026-08-18T20:08:00.338887+00:00] C-s1: R1:R1P6 done ctx=155617 cost=$2.32
[2026-08-18T20:08:06.571588+00:00] C-s4: R1:R1P6 done ctx=124388 cost=$1.20
[2026-08-18T20:08:27.527833+00:00] C-s3: R1:R1P6 done ctx=132991 cost=$1.33
[2026-08-18T20:08:33.543465+00:00] C-s5: R1:R1P6 done ctx=131752 cost=$1.31
[2026-08-18T20:08:34.777042+00:00] D-s1: R1:R1P6 done ctx=87197 cost=$0.53
[2026-08-18T20:09:00.476113+00:00] D-s4: R1:R1P6 done ctx=75422 cost=$0.46
[2026-08-18T20:09:15.174923+00:00] D-s2: R1:R1P6 done ctx=134774 cost=$1.24
[2026-08-18T20:09:24.220742+00:00] D-s3: R1:R1P6 done ctx=101146 cost=$0.75
[2026-08-18T20:10:14.206451+00:00] D-s5: R1:R1P6 done ctx=110715 cost=$0.90
[2026-08-18T20:10:14.207082+00:00] probe R1P6 round 1 complete
[2026-08-18T20:11:49.077103+00:00] A-s2: R1:W2 done ctx=137504 cost=$1.38
[2026-08-18T20:11:50.021261+00:00] A-s1: R1:W2 done ctx=131024 cost=$1.35
[2026-08-18T20:11:58.099516+00:00] A-s3: R1:W2 done ctx=146234 cost=$1.69
[2026-08-18T20:12:03.459425+00:00] A-s4: R1:W2 done ctx=98543 cost=$0.79
[2026-08-18T20:12:48.668845+00:00] A-s5: R1:W2 done ctx=130252 cost=$1.18
[2026-08-18T20:13:05.799430+00:00] B-s1: R1:W2 done ctx=141604 cost=$1.44
[2026-08-18T20:13:11.672138+00:00] B-s2: R1:W2 done ctx=128698 cost=$1.30
[2026-08-18T20:13:15.309537+00:00] B-s4: R1:W2 done ctx=118678 cost=$1.26
[2026-08-18T20:14:02.137588+00:00] B-s3: R1:W2 done ctx=138085 cost=$1.65
[2026-08-18T20:14:46.472958+00:00] C-s1: R1:W2 done ctx=166576 cost=$2.57
[2026-08-18T20:14:47.343918+00:00] B-s5: R1:W2 done ctx=130759 cost=$1.41
[2026-08-18T20:15:10.338666+00:00] C-s2: R1:W2 done ctx=122138 cost=$1.13
[2026-08-18T20:15:59.192796+00:00] C-s4: R1:W2 done ctx=133171 cost=$1.36
[2026-08-18T20:16:14.096042+00:00] C-s5: R1:W2 done ctx=139447 cost=$1.45
[2026-08-18T20:16:21.883019+00:00] C-s3: R1:W2 done ctx=143812 cost=$1.53
[2026-08-18T20:17:18.092271+00:00] D-s2: R1:W2 done ctx=142945 cost=$1.38
[2026-08-18T20:17:27.142895+00:00] D-s1: R1:W2 done ctx=96837 cost=$0.68
[2026-08-18T20:17:29.368121+00:00] D-s3: R1:W2 done ctx=110472 cost=$0.89
[2026-08-18T20:18:48.225578+00:00] D-s5: R1:W2 done ctx=121134 cost=$1.07
[2026-08-18T20:19:01.216209+00:00] D-s4: R1:W2 done ctx=89241 cost=$0.63
[2026-08-18T20:19:01.216856+00:00] turn W2 complete
[2026-08-18T20:19:45.169682+00:00] A-s3: R1:W3 done ctx=151827 cost=$1.88
[2026-08-18T20:19:47.274554+00:00] A-s1: R1:W3 done ctx=136882 cost=$1.50
[2026-08-18T20:20:28.889751+00:00] A-s2: R1:W3 done ctx=148777 cost=$1.80
[2026-08-18T20:21:21.901749+00:00] A-s4: R1:W3 done ctx=111124 cost=$1.12
[2026-08-18T20:21:23.418777+00:00] B-s1: R1:W3 done ctx=148371 cost=$1.57
[2026-08-18T20:21:54.154635+00:00] A-s5: R1:W3 done ctx=144726 cost=$1.73
[2026-08-18T20:22:04.267096+00:00] B-s4: R1:W3 done ctx=119524 cost=$1.28
[2026-08-18T20:23:20.127608+00:00] B-s5: R1:W3 done ctx=140629 cost=$1.68
[2026-08-18T20:23:27.050663+00:00] B-s2: R1:W3 done ctx=146703 cost=$1.80
[2026-08-18T20:23:31.139744+00:00] B-s3: R1:W3 done ctx=155116 cost=$2.21
[2026-08-18T20:23:53.160267+00:00] C-s1: R1:W3 done ctx=171257 cost=$2.73
[2026-08-18T20:24:40.516822+00:00] C-s2: R1:W3 done ctx=131878 cost=$1.42
[2026-08-18T20:24:47.708310+00:00] C-s3: R1:W3 done ctx=154818 cost=$1.78
[2026-08-18T20:25:17.567197+00:00] D-s1: R1:W3 done ctx=100138 cost=$0.72
[2026-08-18T20:25:40.140853+00:00] C-s5: R1:W3 done ctx=146720 cost=$1.63
[2026-08-18T20:26:32.365439+00:00] D-s2: R1:W3 done ctx=152831 cost=$1.71
[2026-08-18T20:26:44.952800+00:00] D-s3: R1:W3 done ctx=118682 cost=$1.09
[2026-08-18T20:27:08.548098+00:00] D-s4: R1:W3 done ctx=94197 cost=$0.69
[2026-08-18T20:27:15.765752+00:00] C-s4: R1:W3 done ctx=142330 cost=$1.69
[2026-08-18T20:27:41.887003+00:00] D-s5: R1:W3 done ctx=128226 cost=$1.29
[2026-08-18T20:27:41.887676+00:00] turn W3 complete
[2026-08-18T20:28:56.853891+00:00] D-s4: R1:band:H1 done ctx=104588 cost=$0.87
[2026-08-18T20:28:56.855299+00:00] workto-band complete
[2026-08-18T20:29:46.940532+00:00] A-s2: R1:compact done ctx=148777 cost=$1.84
[2026-08-18T20:30:05.807541+00:00] A-s3: R1:compact done ctx=151827 cost=$1.92
[2026-08-18T20:30:16.097893+00:00] A-s1: R1:compact done ctx=136882 cost=$1.55
[2026-08-18T20:30:55.211085+00:00] A-s4: R1:compact done ctx=111124 cost=$1.16
[2026-08-18T20:31:34.006510+00:00] A-s5: R1:compact done ctx=144726 cost=$1.78
[2026-08-18T20:32:00.545341+00:00] B-s1: R1:compact done ctx=148371 cost=$1.63
[2026-08-18T20:32:14.800416+00:00] B-s2: R1:compact done ctx=146703 cost=$1.85
[2026-08-18T20:32:41.642645+00:00] B-s3: R1:compact done ctx=155116 cost=$2.26
[2026-08-18T20:32:55.657938+00:00] B-s4: R1:compact done ctx=119524 cost=$1.32
[2026-08-18T20:33:15.718501+00:00] B-s5: R1:compact done ctx=140629 cost=$1.72
[2026-08-18T20:33:35.001095+00:00] C-s1: R1:compact done ctx=171257 cost=$2.77
[2026-08-18T20:33:58.094752+00:00] C-s2: R1:compact done ctx=131878 cost=$1.46
[2026-08-18T20:34:28.615001+00:00] C-s3: R1:compact done ctx=154818 cost=$1.82
[2026-08-18T20:34:38.332241+00:00] C-s4: R1:compact done ctx=142330 cost=$1.73
[2026-08-18T20:35:22.767809+00:00] C-s5: R1:compact done ctx=146720 cost=$1.68
[2026-08-18T20:35:22.926680+00:00] D-s1: R1:compact done ctx=100138 cost=$0.76
[2026-08-18T20:35:38.086812+00:00] D-s2: R1:compact done ctx=152831 cost=$1.75
[2026-08-18T20:36:22.368562+00:00] D-s3: R1:compact done ctx=118682 cost=$1.13
[2026-08-18T20:36:23.827692+00:00] D-s5: R1:compact done ctx=128226 cost=$1.32
[2026-08-18T20:36:38.732175+00:00] D-s4: R1:compact done ctx=104588 cost=$0.91
[2026-08-18T20:36:38.732575+00:00] compact round 1 complete
[2026-08-18T20:36:39.183240+00:00] archived 20 lineage transcripts label=postcompact2
[2026-08-18T20:37:30.278431+00:00] A-s1: R2:R2P1 done ctx=36773 cost=$1.58
[2026-08-18T20:37:32.505569+00:00] A-s2: R2:R2P1 done ctx=40696 cost=$1.88
[2026-08-18T20:37:42.743299+00:00] A-s3: R2:R2P1 done ctx=49221 cost=$2.00
[2026-08-18T20:37:52.027278+00:00] B-s1: R2:R2P1 done ctx=45714 cost=$1.68
[2026-08-18T20:37:52.724007+00:00] A-s5: R2:R2P1 done ctx=45373 cost=$1.84
[2026-08-18T20:38:10.031669+00:00] B-s3: R2:R2P1 done ctx=42427 cost=$2.30
[2026-08-18T20:38:11.552291+00:00] A-s4: R2:R2P1 done ctx=45701 cost=$1.28
[2026-08-18T20:38:23.293068+00:00] B-s4: R2:R2P1 done ctx=45161 cost=$1.37
[2026-08-18T20:38:29.770123+00:00] B-s5: R2:R2P1 done ctx=41662 cost=$1.77
[2026-08-18T20:38:34.174344+00:00] C-s1: R2:R2P1 done ctx=41055 cost=$2.81
[2026-08-18T20:38:35.683502+00:00] B-s2: R2:R2P1 done ctx=48739 cost=$1.94
[2026-08-18T20:38:41.010877+00:00] C-s2: R2:R2P1 done ctx=37854 cost=$1.49
[2026-08-18T20:38:51.312666+00:00] C-s5: R2:R2P1 done ctx=38120 cost=$1.71
[2026-08-18T20:38:56.509120+00:00] C-s4: R2:R2P1 done ctx=37335 cost=$1.77
